context_id,role,predict,label,score1
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,1,1,0.9924
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,1,1,0.8991
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,1,0,0.8659
b90900665eee74f658eed125a321ee06,组织关系-裁员-时间,1,1,0.8196
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员方,1,1,0.999
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员人数,0,0,0.0026
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,1,1,0.9991
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-时间,0,0,0.0008
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员人数,1,0,0.9217
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,1,1,0.999
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,1,1,0.999
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,1,1,0.9954
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-时间,0,0,0.0222
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,1,0,0.8885
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,1,0,0.9982
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-时间,0,0,0.0125
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-时间,0,0,0.013
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员人数,0,0,0.0044
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员方,1,1,0.999
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员人数,1,1,0.7007
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-时间,0,0,0.3064
bc436949df35727c97d96c2fee166113,组织关系-裁员-时间,0,1,0.1419
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,1,1,0.9991
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,1,1,0.9985
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,1,1,0.999
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,1,1,0.999
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,0,1,0.3194
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-时间,0,0,0.0008
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售价格,0,0,0.0008
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-时间,0,0,0.0008
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员人数,0,0,0.0009
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-交易物,1,0,0.809
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,1,1,0.5137
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,1,1,0.9991
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,1,1,0.9988
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,1,1,0.999
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,0,0,0.1864
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员人数,0,0,0.0012
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,1,1,0.999
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,1,1,0.9988
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-时间,0,0,0.0008
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,1,1,0.9991
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,1,1,0.9991
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,1,1,0.999
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-时间,0,0,0.2062
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,1,0,0.7344
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员人数,0,0,0.179
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员方,1,1,0.9988
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-时间,0,0,0.0008
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员人数,0,0,0.0008
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,1,1,0.9991
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,1,1,0.999
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-时间,0,0,0.0008
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,1,1,0.999
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,1,1,0.9892
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-时间,0,0,0.1159
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员方,1,1,0.999
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员人数,1,1,0.9936
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-时间,0,0,0.0008
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-时间,1,1,0.9972
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-坍塌主体,1,1,0.999
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-受伤人数,1,1,0.8106
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-死亡人数,0,0,0.0012
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-坍塌主体,1,1,0.9961
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-死亡人数,1,1,0.9449
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-地点,1,1,0.9972
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-时间,0,0,0.0008
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-死者年龄,0,0,0.0008
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-死者,0,0,0.0075
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-受伤人数,0,0,0.0061
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-时间,0,0,0.0008
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-坍塌主体,1,1,0.9983
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-死亡人数,1,1,0.996
ea027504736dd02c9d075190b0479904,人生-死亡-时间,0,0,0.0008
ea027504736dd02c9d075190b0479904,人生-死亡-死者年龄,0,0,0.0008
ea027504736dd02c9d075190b0479904,人生-死亡-死者,0,0,0.0114
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-受伤人数,0,0,0.0037
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-时间,0,0,0.0008
ea027504736dd02c9d075190b0479904,人生-死亡-地点,1,0,0.9978
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-坍塌主体,1,1,0.9986
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-死亡人数,1,1,0.9976
0198620fafb91ba57c64f810a2fdce60,人生-死亡-地点,1,1,0.9987
0198620fafb91ba57c64f810a2fdce60,人生-失联-地点,1,1,0.9984
0198620fafb91ba57c64f810a2fdce60,人生-死亡-时间,0,0,0.0008
0198620fafb91ba57c64f810a2fdce60,人生-死亡-死者年龄,0,0,0.0008
0198620fafb91ba57c64f810a2fdce60,人生-死亡-死者,0,0,0.0268
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-受伤人数,0,0,0.0126
0198620fafb91ba57c64f810a2fdce60,人生-失联-时间,0,0,0.0008
0198620fafb91ba57c64f810a2fdce60,人生-失联-失联者,0,0,0.0194
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-时间,0,0,0.0008
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-坍塌主体,1,1,0.9545
046a86a7769f5a361eec197fa8404a49,人生-死亡-时间,0,0,0.0008
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者年龄,1,0,0.9383
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者,1,0,0.9848
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-受伤人数,0,0,0.0008
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-时间,0,0,0.0008
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-死亡人数,0,0,0.001
046a86a7769f5a361eec197fa8404a49,人生-死亡-地点,0,0,0.001
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-时间,1,1,0.9977
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-坍塌主体,1,1,0.999
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-死亡人数,1,1,0.9874
6d5b61216556ea335377a60923cf3ea5,人生-死亡-时间,1,1,0.9681
